;год;;;;;;;wikipedia
1;;101;Новый год;ru;1;1 января;3774070;Новый_год
2;;101;Всемирный день мира;ru;2;1 января;0;Всемирный_день_мира
3;1959;201;Запущена первая автоматическая межпланетная станция «Луна-1»;ru;1;2 января;0;Луна-1
4;1929;301;Родился Гордон Мур, основатель корпорации Intel;ru;1;3 января;0;Мур,_Гордон
5;1956;301;Родился Мел Гибсон;ru;2;3 января;0;Гибсон,_Мел
6;1643;401;Родился Исаак Ньютон;ru;1;4 января;0;Ньютон,_Исаак
7;2004;401;Марсоход «Спирит» совершил посадку на Марсе;ru;2;4 января;0;Спирит_(марсоход)
8;;501;Родился Хаяо Миядзаки;ru;1;5 января;0;Миядзаки,_Хаяо
9;;501;Родился итальянский писатель Умберто Эко;ru;2;5 января;0;Эко,_Умберто
10;;601;Рождественский сочельник восточных христиан;ru;1;6 января;0;Сочельник
11;;701;Православное Рождество Христово;ru;1;7 января;0;Рождество_Христово
12;;701;Скончался изобретатель, физик Никола Тесла;ru;2;7 января;0;Тесла,_Никола
13;1935;801;День рождения Элвиса Пресли;ru;1;8 января;0;Пресли,_Элвис
14;1941;801;День рождения художника Бориса Вальехо;ru;2;8 января;0;Вальехо,_Борис
15;;1001;Ратифицирован Версальский договор, окончивший Первую мировую войну;ru;1;10 января;0;Версальский_договор
16;;1101;День Заповедников;ru;1;11 января;0;День_заповедников_и_национальных_парков
17;;1201;День работника прокуратуры РФ;ru;2;12 января;0;День_работника_прокуратуры_(Россия)
18;1976;1201;Скончалась английская писательница Агата Кристи;ru;1;12 января;0;Кристи,_Агата
19;;1301;День Российской Печати;ru;1;13 января;0;День_российской_печати
20;;1401;Старый Новый Год;ru;1;14 января;0;Старый_Новый_год
21;2001;1501;День Википедии;ru;1;15 января;0;История_Википедии
22;1891;1501;Родился Осип Эмильевич Мандельштам;ru;2;15 января;0;Мандельштам,_Осип_Эмильевич
23;;1601;День рождения британской супермодели Кейт Мосс;ru;1;16 января;0;Мосс,_Кейт
24;;1701;День рождения Бенжамина Франклина;ru;1;17 января;0;Франклин,_Бенджамин
25;;1901;Крещение Господне;ru;1;19 января;0;Крещение_Господне
26;;2001;Скончалась актриса  Одри Хепберн;ru;1;20 января;0;Хепбёрн,_Одри
27;1986;2101;День объятий;ru;1;21 января;0;День_объятий
28;;2101;День Инженерных Войск;ru;2;21 января;0;Инженерные_войска
29;;2201;Кровавое воскресенье 1905г.;ru;1;22 января;0;Кровавое_воскресенье_(1905)
30;;2301;Скончался Сальвадор Дали;ru;1;23 января;0;Дали,_Сальвадор
31;;2401;Начало I Зимних Олипийских Игр;ru;1;24 января;0;Олимпийские_игры
32;;2501;День рождения Владимира Высоцкого;ru;2;25 января;0;Высоцкий,_Владимир_Семёнович
33;;2501;День российского студенчества / Татьянин День;ru;1;25 января;0;Татьянин_день
34;;2501;День Штурмана ВМФ;ru;3;25 января;0;День_штурмана_ВМФ_РФ
35;;2601;Международный день таможенника;ru;1;26 января;0;Международный_день_таможенника
36;;2701;Международный день памяти жертв Холокоста;ru;2;27 января;0;Международный_день_памяти_жертв_Холокоста
37;1944;2701;День воинской славы России-Снятие блокады Ленинграда;ru;1;27 января;0;Блокада_Ленинграда
38;;2801;Катастрофа космического корабля «Челленджер»;ru;1;28 января;0;Катастрофа_шаттла_«Челленджер»
39;;2901;День рождения американской телеведущей Опры Уинфри;ru;1;29 января;0;Уинфри,_Опра
40;;3001;День рождения И.О. Дунаевского;ru;1;30 января;0;Дунаевский,_Исаак_Осипович
41;;3101;Открытие Московского зоопарка;ru;2;31 января;0;Московский_зоопарк
42;;3101;День рождения Ванги;ru;1;31 января;0;Ванга
43;1931;102;День рождения Б.Н.Ельцина;ru;1;1 февраля;0;Ельцин,_Борис_Николаевич
44;1943;202;День воинской славы России — День победы в Сталинградской битве;ru;1;2 февраля;0;Сталинградская_битва
45;;302;День рождения Веры Брежневой;ru;1;3 февраля;0;Брежнева,_Вера
46;;402;Всемирный день борьбы против рака;ru;1;4 февраля;0;Всемирный_день_борьбы_против_рака
47;;602;Международный день бармена;ru;1;6 февраля;0;Международный_день_бармена
48;;702;Церемония открытия зимних XXII Олимпийских Игр в Сочи 2014г.;ru;1;7 февраля;0;Церемония_открытия_зимних_Олимпийских_игр_2014
49;;802;День Российской Науки;ru;1;8 февраля;0;День_российской_науки
50;;802;День риэлтора;ru;2;8 февраля;0;День_риелтора
51;;902;Международный день стоматолога;ru;1;9 февраля;0;Международный_день_стоматолога
52;;902;Международный день гражданской авиации;ru;2;9 февраля;0;Международный_день_гражданской_авиации
53;;1002;День Дипломатического Работника;ru;2;10 февраля;0;День_дипломатического_работника
54;;1002;День памяти А.С. Пушкина;ru;1;10 февраля;0;Пушкин,_Александр_Сергеевич
55;;1102;Всемирный день больного ;ru;1;11 февраля;0;Всемирный_день_больного
56;1809;1209;День рождения Ч. Дарвина;ru;1;12 феварля;0;Дарвин,_Чарльз
57;1881;1209;День рождения русской балерины А.Павловой;ru;2;12 феварля;0;Павлова,_Анна_Павловна
58;;1302;День рождения баснописца И. А. Крылова;ru;1;13 февраля;0;Крылов,_Иван_Андреевич
59;;1402;День Святого Валентина / День Всех Влюбленных;ru;1;14 февраля;0;День_святого_Валентина
60;;1502;День памяти воинов-интернационалистов;ru;1;15 февраля;0;День_памяти_воинов-интернационалистов
61;1919;1602;Скончалась В.В.Холодная-актриса немого кино;ru;1;16 февраля;0;Холодная,_Вера_Васильевна
62;;1702;Скончался философ-поэт Джордано Бруно;ru;1;17 февраля;0;Джордано_Бруно
63;;1802;День транспортной милиции России;ru;1;18 февраля;0;День_транспортной_милиции_России
64;;1902;Всемирный день защиты китов;ru;2;19 февраля;0;Всемирный_день_китов_и_дельфинов
65;;1902;Китайский Новый год;ru;1;19 февраля;0;Китайский_Новый_год
66;;2002;Всемирный день социальной справедливости;ru;1;20 февраля;0;Всемирный_день_социальной_справедливости
67;;2102;Международный день родного языка;ru;2;21 февраля;0;Международный_день_родного_языка
68;;2102;"День рождения солиста группы ""Любе"" Н. Расторгуева";ru;1;21 февраля;0;Расторгуев,_Николай_Вячеславович
69;;2202;Международный день поддержки жертв преступлений;ru;1;22 февраля;0;Международный_день_поддержки_жертв_преступлений
70;;2302;День Защитника Отечества;ru;1;23 февраля;0;День_защитника_Отечества
71;;2402;"Первый выпуск программы ""Очевидное-невероятное""";ru;1;24 февраля;0;Очевидное_—_невероятное
